CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions $, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),"GDP per Capita (in $, PPP)",Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Albania,Albania,Europe,50,30,66.60,55.50,49.80,35.60,89.10,72.10,70.60,70.70,51.10,82.00,82.60,70,70,3.70,23,15,18.30,30.50,2.80,40.70,-3.50,2.00,14218,11.70,1.60,1107,76.00
2,Algeria,Algeria,Middle East and North Africa,167,13,45.80,27.90,29.70,30.10,67.20,57.10,38.60,50.00,51.50,80.10,57.40,30,30,13.80,35,26,37.20,37.80,43.90,491.50,-6.00,0.10,11112,12.80,2.40,1125,53.10
3,Angola,Angola,Sub-Saharan Africa,139,29,52.60,39.80,25.30,20.60,86.60,86.40,80.00,37.60,53.90,61.20,70.00,30,40,7.50,25,25,9.40,21.30,32.90,215.10,-4.00,-1.90,6932,7.70,22.30,-1866,127.10
4,Argentina,Argentina,Americas,144,27,50.10,35.10,57.90,45.10,73.30,53.00,16.80,55.10,51.00,37.90,60.60,55,60,12.20,35,25,28.60,39.60,45.40,941.80,-10.00,-2.80,20751,11.70,42.00,4123,103.00
5,Armenia,Armenia,Europe,58,34,65.30,50.40,33.10,50.80,86.90,78.90,75.50,64.90,47.20,77.50,73.60,75,70,5.70,22,18,22.50,26.50,3.00,39.40,-7.60,2.60,13261,20.20,1.20,117,62.80
6,Australia,Australia,Asia-Pacific,12,4,77.70,91.70,95.20,87.00,62.50,51.60,52.00,84.60,64.20,83.20,90.00,80,90,2.50,45,30,28.70,40.20,25.70,1329.90,-2.40,1.50,51680,6.60,0.90,20146,63.10
7,Austria,Austria,Europe,22,15,73.80,98.40,94.60,82.90,45.50,20.30,71.70,82.30,78.40,82.30,79.20,80,70,2.90,55,25,42.40,51.60,8.90,491.50,-6.60,0.40,55218,5.80,1.40,-17340,85.20
8,Azerbaijan,Azerbaijan,Europe,75,37,61.60,53.60,15.90,28.60,87.70,62.70,99.10,64.60,55.90,74.50,66.60,70,60,9.20,25,20,14.30,35.30,10.10,145.80,-4.30,-0.70,14431,6.30,2.80,507,21.40
9,Bahamas,Bahamas,Americas,38,6,68.70,61.10,78.80,64.30,96.50,85.80,67.30,63.30,69.30,79.20,49.00,50,60,18.00,0,0,18.70,21.70,0.40,12.80,-16.30,-1.50,33148,14.40,0.00,897,68.60
10,Bahrain,Bahrain,Middle East and North Africa,74,4,62.00,65.90,27.40,41.60,99.90,65.50,0.00,60.20,54.90,81.10,83.00,85,80,6.00,0,0,3.00,33.90,1.70,73.80,-5.40,1.20,48766,4.10,-2.30,1007,132.90
11,Bangladesh,Bangladesh,Asia-Pacific,137,29,52.70,36.30,28.10,22.20,82.60,93.20,54.00,55.60,36.60,70.00,63.80,50,40,10.60,25,33,7.70,15.00,164.70,874.00,3.80,6.80,5307,5.30,5.60,2564,38.90
12,Barbados,Barbados,Americas,28,4,71.30,72.60,88.20,68.70,80.60,70.80,79.70,64.70,63.40,78.60,58.40,70,60,13.30,29,6,33.10,31.20,0.30,3.90,-17.60,-3.10,13553,12.80,2.90,262,149.00
13,Belarus,Belarus,Europe,135,45,53.00,34.50,15.50,43.70,93.30,56.70,95.30,54.50,46.80,70.20,75.60,30,20,4.70,13,18,13.30,38.00,9.40,189.90,-0.90,0.70,20187,5.30,5.50,1397,48.00
14,Belgium,Belgium,Europe,37,24,69.60,92.50,91.20,83.60,48.20,10.10,50.30,82.80,57.40,84.30,79.20,85,70,2.90,50,29,42.90,54.80,11.60,588.80,-6.40,0.00,51096,6.00,0.40,8437,115.00
15,Belize,Belize,Americas,109,22,56.60,34.70,70.20,38.10,77.00,64.10,37.60,54.00,59.90,82.50,55.60,55,50,17.20,25,25,32.40,34.60,0.40,2.50,-14.10,-1.50,6046,7.80,0.10,76,127.40
16,Benin,Benin,Sub-Saharan Africa,81,6,61.00,44.30,55.30,40.30,68.40,91.60,83.40,47.70,59.60,80.40,61.40,50,50,11.80,45,30,15.40,16.70,12.10,41.70,2.00,4.90,3437,2.50,3.00,176,45.40
17,Bhutan,Bhutan,Asia-Pacific,94,19,59.30,67.20,60.90,73.50,82.40,71.60,72.40,62.90,57.20,72.70,40.80,20,30,22.10,25,30,15.40,30.70,0.80,9.00,-0.80,4.20,12060,3.70,4.20,3,120.70
18,Bolivia,Bolivia,Americas,169,30,43.00,14.10,28.40,28.70,86.00,58.80,10.90,54.70,46.20,72.80,60.80,15,40,9.60,13,25,24.70,37.10,11.70,97.80,-7.70,1.40,8344,5.60,0.90,-1048,67.30
